message,intent
We need medical assistance due to hailstorm in Uttarkashi.,request_medical_aid
"We are trapped in a flood in Bageshwar, send help!",request_rescue
We need to evacuate urgently due to earthquake in Almora.,evacuation_request
Help! Our house is stuck due to a landslide in Almora.,damage_report
We need to evacuate urgently due to landslide in Almora.,evacuation_request
Help! Our house is stuck due to a flood in Chamoli.,evacuation_request
"Due to fire, situation is worsening in Pithoragarh. Need aid!",evacuation_request
"Due to drought, situation is worsening in Pithoragarh. Need aid!",request_rescue
"Due to hailstorm, situation is worsening in Chamoli. Need aid!",request_rescue
Electricity has gone after landslide in Tehri.,power_failure
"Due to landslide, situation is worsening in Nainital. Need aid!",request_medical_aid
"Due to hailstorm, situation is worsening in Pauri. Need aid!",evacuation_request
Water and food are running out after hailstorm hit Almora.,request_supplies
"There is a cloudburst in Rudraprayag, please assist us.",damage_report
"There is a cloudburst in Tehri, please assist us.",damage_report
Help! Our house is stuck due to a flood in Uttarkashi.,request_information
"Severe drought has affected us in Dehradun, need urgent help!",request_information
"Severe hailstorm has affected us in Rudraprayag, need urgent help!",evacuation_request
People missing after hailstorm in Uttarkashi.,missing_person
"There is a earthquake in Pithoragarh, please assist us.",power_failure
Water and food are running out after drought hit Almora.,request_supplies
"There is a earthquake in Nainital, please assist us.",evacuation_request
"Due to landslide, situation is worsening in Almora. Need aid!",evacuation_request
"There is a earthquake in Tehri, please assist us.",power_failure
Electricity has gone after drought in Chamoli.,power_failure
Electricity has gone after cloudburst in Tehri.,power_failure
"Due to cloudburst, situation is worsening in Dehradun. Need aid!",evacuation_request
"There is a drought in Chamoli, please assist us.",missing_person
We need medical assistance due to landslide in Nainital.,request_medical_aid
People missing after fire in Chamoli.,missing_person
Water and food are running out after hailstorm hit Bageshwar.,request_supplies
"We are trapped in a drought in Dehradun, send help!",request_rescue
We need medical assistance due to hailstorm in Tehri.,request_medical_aid
Water and food are running out after fire hit Uttarkashi.,request_supplies
Water and food are running out after cloudburst hit Uttarkashi.,request_supplies
Electricity has gone after fire in Rudraprayag.,power_failure
"Due to cloudburst, situation is worsening in Pithoragarh. Need aid!",request_rescue
We need medical assistance due to fire in Pauri.,request_medical_aid
"Due to fire, situation is worsening in Dehradun. Need aid!",evacuation_request
We need medical assistance due to hailstorm in Dehradun.,request_medical_aid
We need medical assistance due to earthquake in Almora.,request_medical_aid
We need to evacuate urgently due to drought in Dehradun.,evacuation_request
"Severe hailstorm has affected us in Bageshwar, need urgent help!",request_medical_aid
Help! Our house is stuck due to a drought in Rudraprayag.,request_rescue
"Due to hailstorm, situation is worsening in Chamoli. Need aid!",request_information
Water and food are running out after landslide hit Pithoragarh.,request_supplies
"We are trapped in a fire in Chamoli, send help!",request_rescue
We need medical assistance due to hailstorm in Nainital.,request_medical_aid
"There is a fire in Pithoragarh, please assist us.",missing_person
People missing after drought in Pauri.,missing_person
"There is a drought in Rudraprayag, please assist us.",request_supplies
We need medical assistance due to landslide in Chamoli.,request_medical_aid
"There is a hailstorm in Tehri, please assist us.",evacuation_request
Water and food are running out after earthquake hit Rudraprayag.,request_supplies
We need medical assistance due to drought in Bageshwar.,request_medical_aid
Water and food are running out after landslide hit Almora.,request_supplies
"Severe earthquake has affected us in Uttarkashi, need urgent help!",evacuation_request
Water and food are running out after hailstorm hit Pithoragarh.,request_supplies
"We are trapped in a cloudburst in Chamoli, send help!",request_rescue
Electricity has gone after drought in Chamoli.,power_failure
Help! Our house is stuck due to a cloudburst in Pauri.,request_supplies
"Due to landslide, situation is worsening in Dehradun. Need aid!",request_rescue
We need medical assistance due to hailstorm in Tehri.,request_medical_aid
Water and food are running out after earthquake hit Nainital.,request_supplies
Help! Our house is stuck due to a flood in Tehri.,evacuation_request
Help! Our house is stuck due to a hailstorm in Chamoli.,request_supplies
"Due to drought, situation is worsening in Tehri. Need aid!",damage_report
Water and food are running out after flood hit Uttarkashi.,request_supplies
People missing after landslide in Pithoragarh.,missing_person
"Severe earthquake has affected us in Pauri, need urgent help!",damage_report
"There is a fire in Uttarkashi, please assist us.",request_medical_aid
Water and food are running out after flood hit Uttarkashi.,request_supplies
Water and food are running out after landslide hit Dehradun.,request_supplies
We need medical assistance due to hailstorm in Tehri.,request_medical_aid
We need to evacuate urgently due to earthquake in Pithoragarh.,evacuation_request
"There is a landslide in Tehri, please assist us.",request_rescue
Help! Our house is stuck due to a fire in Uttarkashi.,request_information
Electricity has gone after hailstorm in Pithoragarh.,power_failure
"We are trapped in a landslide in Bageshwar, send help!",request_rescue
Water and food are running out after drought hit Pithoragarh.,request_supplies
Water and food are running out after earthquake hit Pithoragarh.,request_supplies
"Severe landslide has affected us in Chamoli, need urgent help!",request_information
"Severe earthquake has affected us in Tehri, need urgent help!",missing_person
People missing after flood in Dehradun.,missing_person
We need medical assistance due to fire in Pithoragarh.,request_medical_aid
We need medical assistance due to drought in Chamoli.,request_medical_aid
Water and food are running out after cloudburst hit Pithoragarh.,request_supplies
People missing after flood in Dehradun.,missing_person
Electricity has gone after fire in Rudraprayag.,power_failure
Electricity has gone after drought in Almora.,power_failure
Water and food are running out after landslide hit Tehri.,request_supplies
Electricity has gone after flood in Rudraprayag.,power_failure
We need to evacuate urgently due to fire in Dehradun.,evacuation_request
"Due to earthquake, situation is worsening in Tehri. Need aid!",request_rescue
"Severe hailstorm has affected us in Uttarkashi, need urgent help!",request_rescue
Water and food are running out after earthquake hit Uttarkashi.,request_supplies
We need medical assistance due to cloudburst in Tehri.,request_medical_aid
Help! Our house is stuck due to a flood in Nainital.,request_medical_aid
"There is a drought in Rudraprayag, please assist us.",request_information
"Severe cloudburst has affected us in Pauri, need urgent help!",power_failure
"There is a drought in Pauri, please assist us.",evacuation_request
We need medical assistance due to landslide in Tehri.,request_medical_aid
We need medical assistance due to landslide in Tehri.,request_medical_aid
Electricity has gone after landslide in Almora.,power_failure
Water and food are running out after cloudburst hit Chamoli.,request_supplies
"There is a drought in Dehradun, please assist us.",request_rescue
"There is a landslide in Bageshwar, please assist us.",power_failure
Help! Our house is stuck due to a earthquake in Bageshwar.,missing_person
Electricity has gone after landslide in Almora.,power_failure
Electricity has gone after landslide in Tehri.,power_failure
We need to evacuate urgently due to drought in Rudraprayag.,evacuation_request
"Severe earthquake has affected us in Bageshwar, need urgent help!",evacuation_request
"Severe drought has affected us in Uttarkashi, need urgent help!",request_information
"Severe landslide has affected us in Dehradun, need urgent help!",missing_person
We need to evacuate urgently due to hailstorm in Nainital.,evacuation_request
"Due to landslide, situation is worsening in Pithoragarh. Need aid!",power_failure
Water and food are running out after flood hit Tehri.,request_supplies
"There is a cloudburst in Bageshwar, please assist us.",request_rescue
"There is a hailstorm in Chamoli, please assist us.",request_supplies
We need to evacuate urgently due to landslide in Uttarkashi.,evacuation_request
Electricity has gone after earthquake in Dehradun.,power_failure
Electricity has gone after flood in Uttarkashi.,power_failure
Help! Our house is stuck due to a earthquake in Rudraprayag.,request_rescue
Electricity has gone after flood in Uttarkashi.,power_failure
Electricity has gone after flood in Chamoli.,power_failure
"We are trapped in a drought in Rudraprayag, send help!",request_rescue
People missing after fire in Uttarkashi.,missing_person
Water and food are running out after cloudburst hit Nainital.,request_supplies
Help! Our house is stuck due to a flood in Almora.,power_failure
We need medical assistance due to landslide in Chamoli.,request_medical_aid
Help! Our house is stuck due to a drought in Chamoli.,missing_person
Help! Our house is stuck due to a hailstorm in Rudraprayag.,request_information
"Severe earthquake has affected us in Uttarkashi, need urgent help!",missing_person
We need medical assistance due to cloudburst in Rudraprayag.,request_medical_aid
"Severe landslide has affected us in Tehri, need urgent help!",request_medical_aid
"Due to flood, situation is worsening in Chamoli. Need aid!",request_rescue
We need to evacuate urgently due to hailstorm in Uttarkashi.,evacuation_request
Help! Our house is stuck due to a fire in Rudraprayag.,request_rescue
"There is a earthquake in Almora, please assist us.",request_medical_aid
"We are trapped in a earthquake in Bageshwar, send help!",request_rescue
"We are trapped in a hailstorm in Uttarkashi, send help!",request_rescue
Water and food are running out after earthquake hit Tehri.,request_supplies
"Severe fire has affected us in Nainital, need urgent help!",request_medical_aid
Electricity has gone after flood in Nainital.,power_failure
Electricity has gone after flood in Bageshwar.,power_failure
"We are trapped in a drought in Uttarkashi, send help!",request_rescue
"Due to hailstorm, situation is worsening in Almora. Need aid!",request_rescue
Water and food are running out after cloudburst hit Tehri.,request_supplies
Help! Our house is stuck due to a flood in Chamoli.,missing_person
"Due to drought, situation is worsening in Nainital. Need aid!",missing_person
Electricity has gone after cloudburst in Tehri.,power_failure
"Severe cloudburst has affected us in Bageshwar, need urgent help!",request_supplies
"We are trapped in a drought in Pauri, send help!",request_rescue
We need medical assistance due to landslide in Pithoragarh.,request_medical_aid
"There is a cloudburst in Tehri, please assist us.",evacuation_request
Water and food are running out after hailstorm hit Chamoli.,request_supplies
"Due to landslide, situation is worsening in Nainital. Need aid!",missing_person
We need to evacuate urgently due to landslide in Uttarkashi.,evacuation_request
Help! Our house is stuck due to a landslide in Dehradun.,missing_person
"Due to earthquake, situation is worsening in Nainital. Need aid!",evacuation_request
We need to evacuate urgently due to fire in Pauri.,evacuation_request
"There is a fire in Tehri, please assist us.",missing_person
People missing after hailstorm in Nainital.,missing_person
Electricity has gone after hailstorm in Dehradun.,power_failure
Water and food are running out after landslide hit Pithoragarh.,request_supplies
We need medical assistance due to drought in Dehradun.,request_medical_aid
Water and food are running out after cloudburst hit Pithoragarh.,request_supplies
Help! Our house is stuck due to a drought in Nainital.,request_supplies
People missing after flood in Uttarkashi.,missing_person
"Severe drought has affected us in Bageshwar, need urgent help!",request_supplies
Electricity has gone after cloudburst in Bageshwar.,power_failure
"There is a earthquake in Rudraprayag, please assist us.",damage_report
"Severe fire has affected us in Nainital, need urgent help!",damage_report
People missing after earthquake in Chamoli.,missing_person
"Due to hailstorm, situation is worsening in Almora. Need aid!",power_failure
"We are trapped in a drought in Chamoli, send help!",request_rescue
"We are trapped in a fire in Tehri, send help!",request_rescue
"Severe landslide has affected us in Chamoli, need urgent help!",request_supplies
We need to evacuate urgently due to hailstorm in Rudraprayag.,evacuation_request
Help! Our house is stuck due to a hailstorm in Bageshwar.,missing_person
People missing after earthquake in Pithoragarh.,missing_person
Help! Our house is stuck due to a fire in Almora.,request_rescue
We need to evacuate urgently due to earthquake in Rudraprayag.,evacuation_request
We need to evacuate urgently due to hailstorm in Pithoragarh.,evacuation_request
"Severe drought has affected us in Rudraprayag, need urgent help!",damage_report
"Due to flood, situation is worsening in Pithoragarh. Need aid!",power_failure
"There is a fire in Rudraprayag, please assist us.",request_supplies
Water and food are running out after earthquake hit Almora.,request_supplies
"Severe flood has affected us in Tehri, need urgent help!",evacuation_request
"Due to hailstorm, situation is worsening in Rudraprayag. Need aid!",request_medical_aid
"Due to hailstorm, situation is worsening in Dehradun. Need aid!",damage_report
We need to evacuate urgently due to cloudburst in Nainital.,evacuation_request
People missing after drought in Nainital.,missing_person
We need medical assistance due to landslide in Nainital.,request_medical_aid
"We are trapped in a cloudburst in Uttarkashi, send help!",request_rescue
"Due to hailstorm, situation is worsening in Chamoli. Need aid!",request_information
We need to evacuate urgently due to earthquake in Nainital.,evacuation_request
People missing after landslide in Nainital.,missing_person
We need medical assistance due to landslide in Dehradun.,request_medical_aid
We need to evacuate urgently due to flood in Pauri.,evacuation_request
We need to evacuate urgently due to cloudburst in Rudraprayag.,evacuation_request
"There is a cloudburst in Nainital, please assist us.",damage_report
Electricity has gone after earthquake in Rudraprayag.,power_failure
Water and food are running out after flood hit Tehri.,request_supplies
"There is a flood in Chamoli, please assist us.",damage_report
Water and food are running out after drought hit Pithoragarh.,request_supplies
People missing after flood in Pauri.,missing_person
Water and food are running out after cloudburst hit Bageshwar.,request_supplies
We need to evacuate urgently due to fire in Pithoragarh.,evacuation_request
Help! Our house is stuck due to a hailstorm in Almora.,request_information
We need to evacuate urgently due to flood in Rudraprayag.,evacuation_request
We need medical assistance due to landslide in Almora.,request_medical_aid
Water and food are running out after landslide hit Uttarkashi.,request_supplies
"Severe hailstorm has affected us in Bageshwar, need urgent help!",request_medical_aid
"There is a drought in Pithoragarh, please assist us.",request_rescue
Water and food are running out after cloudburst hit Uttarkashi.,request_supplies
"There is a flood in Bageshwar, please assist us.",damage_report
People missing after earthquake in Pauri.,missing_person
We need medical assistance due to fire in Chamoli.,request_medical_aid
"Due to fire, situation is worsening in Pithoragarh. Need aid!",request_medical_aid
"We are trapped in a hailstorm in Pithoragarh, send help!",request_rescue
"There is a earthquake in Tehri, please assist us.",request_supplies
"We are trapped in a hailstorm in Bageshwar, send help!",request_rescue
People missing after fire in Nainital.,missing_person
"Due to earthquake, situation is worsening in Bageshwar. Need aid!",request_medical_aid
"Due to earthquake, situation is worsening in Almora. Need aid!",power_failure
"Due to flood, situation is worsening in Pithoragarh. Need aid!",damage_report
"Due to landslide, situation is worsening in Bageshwar. Need aid!",request_supplies
Electricity has gone after landslide in Uttarkashi.,power_failure
"Severe drought has affected us in Pithoragarh, need urgent help!",damage_report
"There is a flood in Tehri, please assist us.",request_supplies
We need medical assistance due to hailstorm in Dehradun.,request_medical_aid
Electricity has gone after landslide in Pithoragarh.,power_failure
We need to evacuate urgently due to earthquake in Pauri.,evacuation_request
Electricity has gone after drought in Tehri.,power_failure
We need medical assistance due to landslide in Pithoragarh.,request_medical_aid
"We are trapped in a earthquake in Chamoli, send help!",request_rescue
People missing after landslide in Dehradun.,missing_person
"Due to fire, situation is worsening in Dehradun. Need aid!",evacuation_request
Electricity has gone after flood in Dehradun.,power_failure
"There is a flood in Uttarkashi, please assist us.",request_information
Electricity has gone after flood in Dehradun.,power_failure
We need to evacuate urgently due to fire in Pauri.,evacuation_request
Help! Our house is stuck due to a drought in Nainital.,request_information
Help! Our house is stuck due to a cloudburst in Uttarkashi.,evacuation_request
We need to evacuate urgently due to cloudburst in Pauri.,evacuation_request
"Due to drought, situation is worsening in Rudraprayag. Need aid!",request_medical_aid
Electricity has gone after hailstorm in Pithoragarh.,power_failure
"There is a fire in Uttarkashi, please assist us.",request_supplies
Water and food are running out after earthquake hit Pauri.,request_supplies
We need to evacuate urgently due to landslide in Pithoragarh.,evacuation_request
We need to evacuate urgently due to flood in Pithoragarh.,evacuation_request
"There is a fire in Bageshwar, please assist us.",request_rescue
Electricity has gone after earthquake in Rudraprayag.,power_failure
Help! Our house is stuck due to a cloudburst in Pithoragarh.,damage_report
People missing after fire in Bageshwar.,missing_person
"There is a flood in Dehradun, please assist us.",request_information
"We are trapped in a hailstorm in Almora, send help!",request_rescue
Help! Our house is stuck due to a landslide in Bageshwar.,request_supplies
We need to evacuate urgently due to earthquake in Pauri.,evacuation_request
We need medical assistance due to cloudburst in Chamoli.,request_medical_aid
Water and food are running out after hailstorm hit Uttarkashi.,request_supplies
"Due to fire, situation is worsening in Chamoli. Need aid!",request_supplies
"Due to cloudburst, situation is worsening in Nainital. Need aid!",damage_report
Water and food are running out after flood hit Almora.,request_supplies
We need to evacuate urgently due to drought in Nainital.,evacuation_request
We need to evacuate urgently due to drought in Uttarkashi.,evacuation_request
Help! Our house is stuck due to a earthquake in Chamoli.,request_rescue
"There is a earthquake in Nainital, please assist us.",request_supplies
Electricity has gone after fire in Tehri.,power_failure
Electricity has gone after cloudburst in Uttarkashi.,power_failure
We need medical assistance due to cloudburst in Bageshwar.,request_medical_aid
"We are trapped in a earthquake in Rudraprayag, send help!",request_rescue
Water and food are running out after cloudburst hit Almora.,request_supplies
"We are trapped in a landslide in Almora, send help!",request_rescue
Water and food are running out after fire hit Dehradun.,request_supplies
"Severe hailstorm has affected us in Bageshwar, need urgent help!",request_information
"Severe drought has affected us in Almora, need urgent help!",request_medical_aid
"Severe drought has affected us in Rudraprayag, need urgent help!",missing_person
"We are trapped in a fire in Tehri, send help!",request_rescue
Electricity has gone after drought in Chamoli.,power_failure
People missing after earthquake in Bageshwar.,missing_person
Water and food are running out after hailstorm hit Almora.,request_supplies
Water and food are running out after hailstorm hit Uttarkashi.,request_supplies
Electricity has gone after fire in Chamoli.,power_failure
"Severe drought has affected us in Nainital, need urgent help!",damage_report
Electricity has gone after cloudburst in Almora.,power_failure
We need to evacuate urgently due to fire in Pauri.,evacuation_request
"Severe earthquake has affected us in Pithoragarh, need urgent help!",missing_person
"We are trapped in a drought in Bageshwar, send help!",request_rescue
Help! Our house is stuck due to a earthquake in Rudraprayag.,request_information
People missing after drought in Tehri.,missing_person
"Due to hailstorm, situation is worsening in Pauri. Need aid!",request_rescue
Help! Our house is stuck due to a cloudburst in Nainital.,request_medical_aid
People missing after fire in Pauri.,missing_person
Help! Our house is stuck due to a landslide in Nainital.,request_information
We need medical assistance due to earthquake in Dehradun.,request_medical_aid
"There is a landslide in Pithoragarh, please assist us.",request_rescue
"Severe drought has affected us in Pithoragarh, need urgent help!",request_medical_aid
We need medical assistance due to cloudburst in Dehradun.,request_medical_aid
"We are trapped in a fire in Chamoli, send help!",request_rescue
Water and food are running out after fire hit Chamoli.,request_supplies
"Due to hailstorm, situation is worsening in Rudraprayag. Need aid!",request_information
Help! Our house is stuck due to a landslide in Bageshwar.,missing_person
We need to evacuate urgently due to flood in Pauri.,evacuation_request
"Severe landslide has affected us in Nainital, need urgent help!",request_supplies
People missing after landslide in Tehri.,missing_person
People missing after earthquake in Nainital.,missing_person
We need to evacuate urgently due to cloudburst in Pithoragarh.,evacuation_request
People missing after fire in Pithoragarh.,missing_person
"Severe earthquake has affected us in Pauri, need urgent help!",damage_report
"There is a fire in Pithoragarh, please assist us.",missing_person
"Severe hailstorm has affected us in Chamoli, need urgent help!",request_supplies
Water and food are running out after flood hit Almora.,request_supplies
We need to evacuate urgently due to fire in Pauri.,evacuation_request
Electricity has gone after landslide in Nainital.,power_failure
"There is a fire in Tehri, please assist us.",request_medical_aid
People missing after fire in Pauri.,missing_person
"We are trapped in a hailstorm in Nainital, send help!",request_rescue
"Due to fire, situation is worsening in Rudraprayag. Need aid!",request_supplies
"We are trapped in a drought in Chamoli, send help!",request_rescue
"Severe hailstorm has affected us in Chamoli, need urgent help!",request_medical_aid
People missing after landslide in Almora.,missing_person
"We are trapped in a cloudburst in Tehri, send help!",request_rescue
Water and food are running out after earthquake hit Bageshwar.,request_supplies
We need medical assistance due to drought in Almora.,request_medical_aid
"There is a fire in Bageshwar, please assist us.",damage_report
"We are trapped in a cloudburst in Tehri, send help!",request_rescue
Help! Our house is stuck due to a hailstorm in Uttarkashi.,damage_report
Water and food are running out after hailstorm hit Nainital.,request_supplies
"We are trapped in a cloudburst in Chamoli, send help!",request_rescue
People missing after fire in Bageshwar.,missing_person
We need to evacuate urgently due to hailstorm in Tehri.,evacuation_request
People missing after fire in Nainital.,missing_person
"Due to landslide, situation is worsening in Almora. Need aid!",damage_report
Water and food are running out after drought hit Pithoragarh.,request_supplies
We need medical assistance due to flood in Uttarkashi.,request_medical_aid
"Due to fire, situation is worsening in Pithoragarh. Need aid!",request_rescue
We need medical assistance due to hailstorm in Pithoragarh.,request_medical_aid
"Due to landslide, situation is worsening in Bageshwar. Need aid!",request_medical_aid
"There is a drought in Tehri, please assist us.",missing_person
"Severe landslide has affected us in Rudraprayag, need urgent help!",damage_report
We need medical assistance due to flood in Chamoli.,request_medical_aid
"We are trapped in a fire in Tehri, send help!",request_rescue
People missing after landslide in Chamoli.,missing_person
Help! Our house is stuck due to a flood in Chamoli.,missing_person
We need to evacuate urgently due to hailstorm in Uttarkashi.,evacuation_request
People missing after hailstorm in Pithoragarh.,missing_person
"Severe cloudburst has affected us in Almora, need urgent help!",damage_report
"There is a landslide in Pithoragarh, please assist us.",evacuation_request
Water and food are running out after earthquake hit Pauri.,request_supplies
"There is a drought in Pithoragarh, please assist us.",power_failure
We need medical assistance due to earthquake in Uttarkashi.,request_medical_aid
People missing after cloudburst in Pithoragarh.,missing_person
We need medical assistance due to drought in Pauri.,request_medical_aid
Water and food are running out after drought hit Dehradun.,request_supplies
"There is a earthquake in Uttarkashi, please assist us.",damage_report
We need to evacuate urgently due to earthquake in Pithoragarh.,evacuation_request
We need to evacuate urgently due to drought in Chamoli.,evacuation_request
Water and food are running out after cloudburst hit Chamoli.,request_supplies
"There is a fire in Tehri, please assist us.",power_failure
People missing after landslide in Bageshwar.,missing_person
We need to evacuate urgently due to hailstorm in Dehradun.,evacuation_request
We need medical assistance due to earthquake in Nainital.,request_medical_aid
Help! Our house is stuck due to a landslide in Chamoli.,request_medical_aid
"Due to flood, situation is worsening in Uttarkashi. Need aid!",evacuation_request
"We are trapped in a hailstorm in Nainital, send help!",request_rescue
We need medical assistance due to drought in Tehri.,request_medical_aid
"There is a landslide in Dehradun, please assist us.",request_rescue
We need medical assistance due to earthquake in Chamoli.,request_medical_aid
Help! Our house is stuck due to a drought in Pithoragarh.,request_medical_aid
"There is a drought in Tehri, please assist us.",request_rescue
People missing after flood in Pithoragarh.,missing_person
"Due to earthquake, situation is worsening in Almora. Need aid!",evacuation_request
"Due to fire, situation is worsening in Tehri. Need aid!",missing_person
People missing after hailstorm in Chamoli.,missing_person
Electricity has gone after drought in Dehradun.,power_failure
"There is a fire in Bageshwar, please assist us.",request_rescue
Help! Our house is stuck due to a drought in Tehri.,missing_person
Help! Our house is stuck due to a drought in Rudraprayag.,request_rescue
Electricity has gone after drought in Chamoli.,power_failure
"We are trapped in a drought in Rudraprayag, send help!",request_rescue
We need to evacuate urgently due to drought in Almora.,evacuation_request
"We are trapped in a drought in Almora, send help!",request_rescue
We need medical assistance due to hailstorm in Uttarkashi.,request_medical_aid
"We are trapped in a cloudburst in Tehri, send help!",request_rescue
Help! Our house is stuck due to a landslide in Pithoragarh.,request_medical_aid
Water and food are running out after hailstorm hit Almora.,request_supplies
People missing after flood in Chamoli.,missing_person
People missing after drought in Dehradun.,missing_person
"Due to drought, situation is worsening in Almora. Need aid!",request_supplies
Help! Our house is stuck due to a earthquake in Pithoragarh.,missing_person
People missing after flood in Pauri.,missing_person
People missing after hailstorm in Pauri.,missing_person
Water and food are running out after landslide hit Uttarkashi.,request_supplies
Help! Our house is stuck due to a hailstorm in Nainital.,evacuation_request
We need to evacuate urgently due to drought in Rudraprayag.,evacuation_request
Electricity has gone after earthquake in Dehradun.,power_failure
Help! Our house is stuck due to a fire in Chamoli.,evacuation_request
"We are trapped in a landslide in Almora, send help!",request_rescue
People missing after cloudburst in Pauri.,missing_person
People missing after earthquake in Rudraprayag.,missing_person
"Due to flood, situation is worsening in Pauri. Need aid!",damage_report
"Due to hailstorm, situation is worsening in Rudraprayag. Need aid!",missing_person
"Severe earthquake has affected us in Chamoli, need urgent help!",damage_report
"We are trapped in a earthquake in Bageshwar, send help!",request_rescue
Electricity has gone after landslide in Dehradun.,power_failure
"We are trapped in a fire in Pauri, send help!",request_rescue
"Due to landslide, situation is worsening in Almora. Need aid!",power_failure
People missing after cloudburst in Chamoli.,missing_person
"Due to flood, situation is worsening in Chamoli. Need aid!",evacuation_request
Water and food are running out after cloudburst hit Pauri.,request_supplies
Water and food are running out after fire hit Tehri.,request_supplies
Water and food are running out after drought hit Tehri.,request_supplies
Electricity has gone after cloudburst in Almora.,power_failure
We need medical assistance due to landslide in Rudraprayag.,request_medical_aid
We need to evacuate urgently due to cloudburst in Bageshwar.,evacuation_request
"There is a drought in Nainital, please assist us.",request_information
Help! Our house is stuck due to a fire in Almora.,request_rescue
"Due to cloudburst, situation is worsening in Bageshwar. Need aid!",request_information
"We are trapped in a earthquake in Uttarkashi, send help!",request_rescue
People missing after drought in Bageshwar.,missing_person
We need to evacuate urgently due to cloudburst in Pithoragarh.,evacuation_request
Help! Our house is stuck due to a cloudburst in Almora.,request_information
Electricity has gone after flood in Uttarkashi.,power_failure
People missing after fire in Nainital.,missing_person
Electricity has gone after fire in Tehri.,power_failure
We need to evacuate urgently due to fire in Dehradun.,evacuation_request
Water and food are running out after drought hit Pithoragarh.,request_supplies
We need medical assistance due to fire in Nainital.,request_medical_aid
We need to evacuate urgently due to hailstorm in Chamoli.,evacuation_request
"Due to drought, situation is worsening in Nainital. Need aid!",request_supplies
We need to evacuate urgently due to earthquake in Tehri.,evacuation_request
"Severe drought has affected us in Pithoragarh, need urgent help!",request_information
"Severe flood has affected us in Pithoragarh, need urgent help!",request_supplies
"There is a drought in Almora, please assist us.",evacuation_request
Electricity has gone after hailstorm in Pithoragarh.,power_failure
"We are trapped in a landslide in Tehri, send help!",request_rescue
"Due to drought, situation is worsening in Chamoli. Need aid!",request_medical_aid
"Due to landslide, situation is worsening in Nainital. Need aid!",request_supplies
"Severe cloudburst has affected us in Chamoli, need urgent help!",request_medical_aid
People missing after cloudburst in Rudraprayag.,missing_person
People missing after fire in Dehradun.,missing_person
We need to evacuate urgently due to cloudburst in Chamoli.,evacuation_request
"We are trapped in a fire in Rudraprayag, send help!",request_rescue
We need medical assistance due to flood in Almora.,request_medical_aid
People missing after cloudburst in Tehri.,missing_person
"Due to landslide, situation is worsening in Nainital. Need aid!",power_failure
We need medical assistance due to flood in Pithoragarh.,request_medical_aid
Help! Our house is stuck due to a landslide in Dehradun.,missing_person
Water and food are running out after flood hit Bageshwar.,request_supplies
"Severe fire has affected us in Uttarkashi, need urgent help!",request_medical_aid
People missing after drought in Pithoragarh.,missing_person
People missing after earthquake in Bageshwar.,missing_person
